1	3					
1	Hypersensitivity to touch was also reported on two separate occasions for a single high dose male.					
1	0	25	Hypersensitivity to touch	MP:001968		
						
3	14					
3	- prematurely deceased female rats (pre-mortal symptoms): pilo-erection and/or reduced motility were noted in all or several females.					
3	2	22	prematurely deceased	MP:0002083		
3	58	71	pilo-erection	MP:0001492		
3	79	95	reduced motility	MP:0003491		
						
8	20					
8	The body weight gain and the body weight at autopsy were similarly only slightly reduced compared to the control group.					
8	4	20	body weight gain	MP:0001260		
						
9	21					
9	Overall, the reduced body weights at the 1000 mg/kg bw/day dose are considered as test item-related.					
9	13	33	reduced body weights	MP:0001262		
						
11	24					
11	The platetes were statistically significant decreased (32%) in the males.					
11	4	53	platetes were statistically significant decreased	MP:0008935		
						
12	27					
12	The slightly reduced body weight of the treated male animals had recovered to a level comparable to the control group at the end of the recovery period.					
12	13	32	reduced body weight	MP:0001262		
						
13	29					
13	The slightly increased values of red blood cell-related parameters (haemoglobin content, number of erythrocytes, haematocrit value) and the slightly decreased number of platelets in the previously dosed male and female animals had returned to values comparable to the control group at the end of the recovery period   Overall, no further test-item related changes were observed.					
13	68	87	haemoglobin content	MP:0005564		
13	89	111	number of erythrocytes	MP:0011178		
13	113	124	haematocrit	MP:0002608		
13	149	178	decreased number of platelets	MP:0008935		
						
14	31					
14	- 1000 mg/kg bw/day: two female animals revealed an exophthalmus from test day 79 onwards.					
14	52	64	exophthalmus	MP:0002750		
						
17	36					
17	The consistency of all animals' faeces was normal throughout the treatment period. - no deaths were noted at any dose level.  - all main study animals survived until their scheduled terminal sacrifice.					
17	88	94	deaths	MP:0002083		
						
20	41					
20	Lastly, another female 1000 mg/kg bw/day dose animal revealed areas with thin fur (size approximately 10 mm × 30 mm) on both forelimbs in test weeks 10 to 13.					
20	74	81	thin fur	MP:0000416		
						
22	44					
22	Furthermore, the exophthalmus of the female recovery animal previously treated, that is considered not test item-related, was still present until the end of the recovery period.					
22	17	29	exophthalmus	MP:0002750		
						
24	47					
24	The consistency of all animals' faeces was normal throughout the recovery period. - no deaths were noted during the recovery period.					
24	87	93	deaths	MP:0002083		
						
26	50					
26	BODY WEIGHT AND WEIGHT GAIN 1) Treatment period - 100 or 300 mg/kg bw/day: no test item-related changes were noted for the male and female animals.					
26	16	27	WEIGHT GAIN	MP:0001260		
						
27	52					
27	The body weight gain was reduced by up to 17 percentage points in comparison to the control.					
27	4	20	body weight gain	MP:0001260		
						
30	55					
30	The body weight gain and the body weight at autopsy were similarly only slightly reduced compared to the control group.					
30	4	20	body weight gain	MP:0010182		
30	25	36	body weight	MP:0001262		
						
31	56					
31	- reduced body weights at the 1000 mg/kg bw/day dose are considered as test item-related.					
31	2	22	reduced body weights	MP:0001262		
						
33	58					
33	- animals previously treated with the 1000 mg/kg bw/day dose revealed a higher body weight gain than the control group during the recovery period.					
33	72	95	higher body weight gain	MP:0005455		
						
35	62					
35	This effect is considered to be due to the reduced body weight of these male animals.					
35	43	62	reduced body weight	MP:0001262		
						
39	71					
39	"- statistically significant differences in haematological parameters compared to the control animals on test day 91 (end of treatment) or test day 119 (end of recovery) that are not considered to be test item-related are as follows: Treatment period (1000 mg/kg bw/day): decreased absolute eosinophilic granulocytes (males; p ≤ 0.05) decreased absolute large unclassified cells (males; p ≤ 0.05) increased mean corpuscular haemoglobin (females; p ≤ 0.05)  Recovery period (1000 mg/kg bw/day): decreased reticulocytes (males; p ≤ 0.01) decreased absolute large unclassified cells (males; p ≤ 0.05)  Please also refer for results about haematology to ""Attached background material"" below."					
39	396	434	increased mean corpuscular haemoglobin	MP:0005561		
						
40	75					
